	sno	name	release_year	rating	votes	genres
51	m51	drop dead gorgeous	1999	6.3	16417.0	['comedy' 'adult']
52	m52	duck soup	1933	8.1	27112.0	['comedy' 'musical']
53	m53	the elephant man	1980	8.4	59625.0	['biography' 'drama' 'history']
54	m54	erik the viking	1989	5.9	5889.0	['comedy' 'adventure' 'fantasy']
55	m55	eternal sunshine of the spotless mind	2004	8.5	224838.0	['drama' 'romance' 'sci-fi']
56	m56	even cowgirls get the blues	1993	4.0	3947.0	['comedy' 'drama' 'romance' 'western']
57	m57	event horizon	1997	6.4	45497.0	['horror' 'mystery' 'mystery' 'sci-fi' 'sci-fi']
58	m58	fantastic four	2005	5.7	72581.0	['action' 'adventure' 'fantasy' 'sci-fi' 'fantasy']
59	m59	fast times at ridgemont high	1982	7.2	31710.0	['comedy' 'drama' 'romance']
60	m60	fear and loathing in las vegas	1998	7.6	82748.0	['drama' 'fantasy']
61	m61	feast	2005	6.4	12248.0	['action' 'comedy' 'horror' 'thriller']
62	m62	frances	1982	7.2	2756.0	['biography' 'drama']
63	m63	frankenstein	1931	8.0	23522.0	['drama' 'horror' 'sci-fi']
64	m64	friday the 13th	2009	5.6	27499.0	['horror']
65	m65	from dusk till dawn	1996	7.1	81559.0	['action' 'crime' 'horror' 'thriller']
66	m66	g.i. jane	1997	5.6	24068.0	['action' 'drama']
67	m67	godzilla	1998	4.9	60310.0	['action' 'horror' 'sci-fi' 'thriller']
68	m68	galaxy quest	1999	7.2	53004.0	['action' 'adventure' 'comedy' 'sci-fi']
69	m69	george washington	2000	7.5	3142.0	['drama']
70	m70	get shorty	1995	6.9	33588.0	['comedy' 'crime' 'thriller']
71	m71	ghost ship	2002	5.3	26413.0	['horror' 'mystery' 'thriller']
72	m72	ghost world	2001	7.7	43550.0	['comedy' 'drama']
73	m73	the ghost and the darkness	1996	6.6	19954.0	['adventure' 'drama' 'thriller']
74	m74	ghostbusters ii	1989	6.1	45450.0	['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi']
75	m75	ghostbusters	1986	6.9	237.0	['animation' 'comedy' 'fantasy' 'sci-fi' 'horror']
76	m76	gladiator	2000	8.4	286067.0	['action' 'adventure' 'drama']
77	m77	the graduate	1967	8.2	79677.0	['comedy' 'drama' 'romance']
78	m78	grand hotel	1932	7.7	6088.0	['drama' 'romance']
79	m79	the grifters	1990	7.0	11481.0	['crime' 'drama' 'thriller']
80	m80	halloween h20: 20 years later	1998	5.4	22353.0	['drama' 'horror' 'thriller']
81	m81	halloween: the curse of michael myers	1995	4.5	8743.0	['horror' 'thriller']
82	m82	happy birthday wanda june	1971	5.8	144.0	['comedy' 'drama']
83	m83	hardcore	1979	6.7	2455.0	['drama']
84	m84	harold and maude	1971	8.1	28689.0	['comedy' 'romance']
85	m85	hellbound: hellraiser ii	1988	6.2	11273.0	['drama' 'horror' 'thriller']
86	m86	hellboy	2004	6.8	68619.0	['action' 'adventure' 'fantasy']
87	m87	hellraiser	1987	7.0	22922.0	['horror']
88	m88	high fidelity	2000	7.6	70464.0	['comedy' 'drama' 'music' 'romance']
89	m89	highlander	1986	7.2	41243.0	['action' 'fantasy']
90	m90	his girl friday	1940	8.1	20870.0	['comedy' 'drama' 'romance']
91	m91	hope and glory	1987	7.4	4965.0	['drama' 'war']
92	m92	house of 1000 corpses	2003	5.6	27033.0	['horror']
93	m93	human nature	2001	6.3	10017.0	['comedy' 'drama']
94	m94	the hustler	1961	8.2	25871.0	['drama' 'romance' 'sport']
95	m95	i am legend	2007	7.1	156084.0	['drama' 'sci-fi' 'thriller']
96	m96	invaders from mars	1953	6.4	2115.0	['horror' 'sci-fi']
97	m97	independence day	1996	6.6	151698.0	['action' 'adventure' 'sci-fi' 'thriller']
98	m98	indiana jones and the last crusade	1989	8.3	174947.0	['action' 'adventure' 'thriller' 'action' 'adventure' 'fantasy']
99	m99	indiana jones and the temple of doom	1984	7.5	112054.0	['action' 'adventure']
100	m100	innerspace	1987	6.5	16854.0	['action' 'adventure' 'comedy' 'crime' 'sci-fi']
101	m101	the insider	1999	8.0	69660.0	['biography' 'drama' 'thriller']
102	m102	intolerable cruelty	2003	6.4	36739.0	['comedy' 'romance' 'crime']
103	m103	it happened one night	1934	8.3	25577.0	['comedy' 'romance']
104	m104	jfk	1991	8.0	60406.0	['biography' 'drama' 'history' 'mystery' 'thriller']
105	m105	jackie brown	1997	7.6	85496.0	['crime' 'drama' 'thriller']
106	m106	jacob's ladder	1990/I	7.5	29182.0	['drama' 'mystery' 'thriller']
107	m107	jason x	2001	4.4	18199.0	['horror' 'sci-fi']
108	m108	jaws	1975	8.3	140982.0	['thriller']
109	m109	juno	2007	7.9	152436.0	['comedy' 'drama']
110	m110	kalifornia	1993	6.7	21830.0	['crime' 'drama' 'thriller']
111	m111	kids	1995	6.8	26546.0	['crime' 'drama']
112	m112	knight moves	1992	5.8	3272.0	['mystery' 'thriller']
113	m113	krull	1983	5.9	8246.0	['fantasy' 'action' 'adventure' 'sci-fi']
114	m114	léon	1994	8.6	204901.0	['crime' 'drama' 'thriller']
115	m115	labor of love	1998	4.5	45.0	[]
116	m116	leaving las vegas	1995	7.6	42919.0	['drama' 'romance']
117	m117	legally blonde	2001	6.2	44558.0	['comedy']
118	m118	legend	1985	6.2	20907.0	['fantasy' 'adventure' 'romance']
119	m119	life as a house	2001	7.5	19468.0	['drama' 'romance']
120	m120	the life of david gale	2003	7.3	38237.0	['drama' 'crime' 'thriller']
121	m121	little nicky	2000	5.0	35489.0	['fantasy' 'comedy' 'romance' 'animation' 'comedy' 'fantasy' 'horror']
122	m122	logan's run	1976	6.7	15152.0	['action' 'sci-fi']
123	m123	lost highway	1997	7.6	42998.0	['drama' 'horror' 'mystery' 'thriller']
124	m124	lost horizon	1937	7.8	5509.0	['adventure' 'drama' 'fantasy' 'mystery']
125	m125	men in black	1997	7.0	121719.0	['action' 'adventure' 'comedy' 'sci-fi']
126	m126	minority report	2002	7.7	137009.0	['action' 'crime' 'mystery' 'sci-fi' 'thriller' 'action' 'animation' 'drama' 'mystery' 'sci-fi' 'thriller']
127	m127	made	2001	6.4	9774.0	['comedy' 'crime' 'drama' 'thriller']
128	m128	malcolm x	1992	7.7	23317.0	['biography' 'drama' 'history']
129	m129	man on fire	2004	7.7	76517.0	['action' 'crime' 'drama' 'thriller']
130	m130	marty	1955	7.7	6379.0	['drama' 'romance']
131	m131	mash	1970	7.8	29358.0	['comedy' 'war' 'drama']
132	m132	meet john doe	1941	7.7	4841.0	['comedy' 'drama' 'romance']
133	m133	metro	1997	5.3	9601.0	['action' 'comedy' 'crime' 'drama' 'thriller']
134	m134	metropolis	1927	8.4	40730.0	['adventure' 'drama' 'sci-fi']
135	m135	mighty morphin power rangers	1994	8.2	35.0	['action' 'family']
136	m136	mobsters	1991	5.5	3574.0	['crime' 'drama']
137	m137	monkeybone	2001	4.5	8258.0	['animation' 'comedy' 'fantasy' 'romance']
138	m138	my mother dreams the satan's disciples in new york	1998	6.7	70.0	['short']
139	m139	mr. smith goes to washington	1939	8.4	33984.0	['drama']
140	m140	mr. deeds goes to town	1936	8.0	7594.0	['comedy' 'romance']
141	m141	mumford	1999	6.8	6333.0	['comedy' 'drama']
142	m142	the mummy	1999	6.9	96736.0	['action' 'adventure' 'fantasy']
143	m143	mystery men	1999	5.9	31817.0	['action' 'comedy' 'fantasy']
144	m144	napoleon	1995	5.5	486.0	['family' 'adventure']
145	m145	next friday	2000	5.4	10267.0	['comedy']
146	m146	nick of time	1995	6.2	15945.0	['crime' 'drama' 'thriller']
147	m147	the night of the hunter	1955	8.2	26211.0	['drama' 'film-noir' 'thriller']
148	m148	a nightmare on elm street	1984	7.4	47161.0	['horror']
149	m149	ninotchka	1939	7.9	6951.0	['comedy' 'romance']
150	m150	nixon	1995	7.1	13878.0	['biography' 'drama']
151	m151	no country for old men	2007	8.3	202649.0	['crime' 'drama' 'mystery' 'thriller' 'western']
152	m152	nurse betty	2000	6.4	20473.0	['comedy' 'crime' 'romance' 'thriller']
153	m153	o brother where art thou?	2000	7.8	95628.0	['comedy' 'adventure' 'crime' 'music']
154	m154	an officer and a gentleman	1982	6.8	16883.0	['drama' 'romance']
155	m155	panic room	2002	6.9	69824.0	['thriller']
156	m156	panther	1995/I	5.9	1129.0	['drama']
157	m157	the patriot	2000	6.9	79207.0	['action' 'drama' 'war']
158	m158	pet sematary	1989	6.3	19851.0	['drama' 'fantasy' 'horror' 'mystery' 'thriller']
159	m159	pirates of the caribbean	2003	7.2	329.0	['adventure' 'fantasy' 'horror']
160	m160	plastic man	1999	6.7	29.0	['drama']
161	m161	platinum blonde	1931	6.9	1119.0	['comedy' 'romance']
162	m162	pleasantville	1998	7.5	49669.0	['comedy' 'drama' 'fantasy']
163	m163	punch-drunk love	2002	7.4	50312.0	['comedy' 'drama' 'romance']
164	m164	quills	2000	7.3	22657.0	['biography' 'drama' 'history' 'romance']
165	m165	rko 281	1999	7.1	3543.0	['biography' 'drama']
166	m166	raging bull	1980	8.4	91851.0	['biography' 'drama' 'sport']
167	m167	rear window	1954	8.7	121165.0	['crime' 'mystery' 'romance' 'thriller']
168	m168	rebel without a cause	1955	7.9	27791.0	['drama' 'romance']
169	m169	reindeer games	2000	5.5	16951.0	['action' 'crime' 'drama' 'thriller']
170	m170	reservoir dogs	1992	8.4	217185.0	['crime' 'mystery' 'thriller']
171	m171	roughshod	1949	6.9	115.0	['action' 'drama' 'romance' 'western']
172	m172	scary movie 2	2001	4.7	44511.0	['comedy']
173	m173	serial mom	1994	6.4	11077.0	['comedy' 'thriller']
174	m174	the seventh victim	1943	6.9	1596.0	['drama' 'horror' 'thriller']
175	m175	sex lies and videotape	1989	7.1	18505.0	['drama']
176	m176	shivers	1975	6.5	4940.0	['horror' 'sci-fi']
177	m177	shock treatment	1981	5.4	1884.0	['comedy' 'musical']
178	m178	sideways	2004	7.8	70349.0	['comedy' 'drama' 'romance']
179	m179	signs	2002	6.9	113119.0	['drama' 'mystery' 'sci-fi' 'thriller']
180	m180	silverado	1985	7.0	14355.0	['action' 'western']
181	m181	simone	2010	8.3	9.0	['short' 'drama' 'horror' 'thriller']
182	m182	the sixth sense	1999	8.2	244162.0	['drama' 'mystery' 'thriller']
183	m183	slash	2002	4.2	899.0	['comedy' 'horror' 'thriller']
184	m184	slither	2006	6.6	26497.0	['comedy' 'horror' 'sci-fi']
185	m185	smokey and the bandit	1977	6.6	14147.0	['action' 'comedy' 'crime' 'romance']
186	m186	smokin' aces	2006	6.6	58048.0	['action' 'crime' 'drama' 'thriller']
187	m187	solaris	2002	6.2	33541.0	['drama' 'mystery' 'romance' 'sci-fi']
188	m188	someone to watch over me	1987	6.1	3909.0	['action' 'crime' 'drama' 'romance' 'thriller']
189	m189	spider-man	2002	7.4	169898.0	['action' 'adventure' 'fantasy' 'sci-fi' 'action' 'adventure' 'sci-fi' 'thriller']
190	m190	stalag 17	1953	8.2	21182.0	['drama' 'war']
191	m191	star trek: generations	1994	6.5	26662.0	['action' 'mystery' 'sci-fi' 'thriller']
192	m192	star trek iii: the search for spock	1984	6.5	22466.0	['action' 'adventure' 'sci-fi' 'thriller']
193	m193	star trek: the wrath of khan	1982	7.8	36503.0	['action' 'adventure' 'sci-fi' 'thriller']
194	m194	star trek iv: the voyage home	1986	7.3	26423.0	['adventure' 'comedy' 'sci-fi']
195	m195	star trek: insurrection	1998	6.3	26728.0	['action' 'adventure' 'sci-fi' 'thriller']
196	m196	star trek: first contact	1996	7.6	45429.0	['action' 'adventure' 'sci-fi' 'thriller']
197	m197	star trek vi: the undiscovered country	1991	7.2	23751.0	['action' 'mystery' 'sci-fi' 'thriller']
198	m198	star trek: nemesis	2002	6.4	28682.0	['action' 'sci-fi' 'thriller']
199	m199	starman	1984	6.9	14204.0	['adventure' 'drama' 'romance' 'sci-fi']
200	m200	strange days	1995	7.1	27744.0	['action' 'crime' 'drama' 'fantasy' 'music' 'mystery' 'sci-fi' 'thriller']
201	m201	suspect zero	2004	5.8	9914.0	['crime' 'horror' 'sci-fi' 'thriller']
202	m202	swingers	1996	7.6	32427.0	['comedy' 'drama']
203	m203	the godfather	1972	9.2	419312.0	['crime' 'drama' 'thriller']
204	m204	the talented mr. ripley	1999	7.2	64055.0	['crime' 'drama' 'thriller']
205	m205	taxi driver	1976	8.6	159525.0	['drama' 'thriller']
206	m206	the rock	1996	7.3	109533.0	['action' 'adventure' 'thriller']
207	m207	the majestic	2001	6.8	25057.0	['drama' 'romance']
208	m208	the birds	1963	7.9	53233.0	['horror' 'romance' 'thriller']
209	m209	the body snatcher	1945	7.4	2927.0	['drama' 'horror' 'thriller']
210	m210	the crow: salvation	2000	4.7	4566.0	['action' 'crime' 'fantasy' 'mystery' 'thriller']
211	m211	the day the earth stood still	2008	5.5	52489.0	['drama' 'sci-fi' 'thriller']
212	m212	the lost boys	1987	7.0	34826.0	['comedy' 'fantasy' 'horror' 'thriller']
213	m213	the thing	1982	8.2	80904.0	['horror' 'mystery' 'sci-fi' 'thriller']
214	m214	the time machine	2002	5.7	32900.0	['sci-fi' 'adventure' 'action']
215	m215	the jacket	2005	7.1	36581.0	['drama' 'fantasy' 'mystery' 'sci-fi' 'thriller']
216	m216	thelma & louise	1991	7.3	44372.0	['crime' 'drama' 'thriller']
217	m217	there's something about mary	1998	7.2	97546.0	['comedy' 'romance']
218	m218	thirteen days	2000	7.3	23732.0	['drama' 'history' 'thriller']
219	m219	thunderheart	1992	6.6	6662.0	['crime' 'mystery' 'thriller' 'western']
220	m220	top gun	1986	6.5	81087.0	['action' 'drama' 'romance']
221	m221	total recall	1990	7.4	71383.0	['action' 'adventure' 'sci-fi' 'thriller']
222	m222	tremors	1990	7.1	30553.0	['action' 'comedy' 'horror' 'thriller']
223	m223	true believer	1989	6.7	1801.0	['drama' 'crime']
224	m224	twin peaks: fire walk with me	1992	7.0	21274.0	['drama' 'horror' 'mystery' 'thriller']
225	m225	the verdict	1982	7.7	10991.0	['drama']
226	m226	the war of the worlds	1953	7.1	12239.0	['action' 'horror' 'sci-fi' 'thriller']
227	m227	new nightmare	1994	6.3	14975.0	['fantasy' 'horror' 'mystery' 'thriller']
228	m228	white squall	1996	6.4	8465.0	['adventure' 'drama']
229	m229	wild at heart	1990	7.2	29388.0	['crime' 'romance' 'thriller']
230	m230	wonder boys	2000	7.5	31853.0	['drama' 'comedy']
231	m231	the woodsman	2004	7.4	16090.0	['drama']
232	m232	the abyss	1989	7.6	51699.0	['action' 'adventure' 'drama' 'sci-fi' 'thriller']
233	m233	l'avventura	1960	7.9	6963.0	['drama' 'mystery']
234	m234	agnes of god	1985	6.5	3490.0	['drama' 'mystery' 'thriller']
235	m235	a hard day's night	1964	7.6	15431.0	['comedy' 'music']
236	m236	alien	1979	8.5	184471.0	['adventure' 'horror' 'sci-fi' 'thriller']
237	m237	alien vs. predator	1993	7.8	116.0	['action' 'adventure' 'sci-fi']
238	m238	all about eve	1950	8.5	35597.0	['drama']
239	m239	all the president's men	1976	8.0	32717.0	['drama' 'history' 'thriller']
240	m240	american pie	1999	6.9	107961.0	['comedy' 'romance']
241	m241	an american werewolf in paris	1997	4.9	10158.0	['horror' 'romance' 'thriller' 'comedy']
242	m242	anastasia	1997	6.6	16844.0	['animation' 'adventure' 'drama' 'family' 'musical' 'animation' 'family']
243	m243	annie hall	1977	8.3	66781.0	['comedy' 'drama' 'romance']
244	m244	the anniversary party	2001	6.2	5809.0	['drama' 'comedy']
245	m245	antz	1998	6.8	37825.0	['animation' 'adventure' 'comedy' 'family']
246	m246	the apartment	1960	8.4	37301.0	['romance' 'comedy' 'drama']
247	m247	apocalypse now	1979	8.6	176465.0	['drama' 'war']
248	m248	arctic blue	1993	4.8	464.0	['action' 'thriller']
249	m249	as good as it gets	1997	7.8	93201.0	['comedy' 'drama' 'romance']
250	m250	assassins	1995	6.0	23681.0	['action' 'thriller' 'crime']
251	m251	asylum	2005	6.1	2395.0	['drama' 'romance' 'thriller']
252	m252	a walk to remember	2002	7.1	38751.0	['drama' 'romance']
253	m253	back to the future	1985	8.4	207376.0	['adventure' 'family' 'sci-fi']
254	m254	badlands	1973	7.9	16753.0	['crime' 'drama' 'romance' 'thriller']
255	m255	the adventures of buckaroo banzai across the 8th dimension	1984	6.0	10046.0	['adventure' 'romance' 'comedy' 'sci-fi']
256	m256	barton fink	1991	7.8	33119.0	['drama' 'mystery' 'thriller']
257	m257	basic instinct	1992	6.9	57615.0	['mystery' 'romance' 'thriller']
258	m258	basquiat	1996	6.7	8016.0	['biography' 'drama']
259	m259	batman returns	1992	6.9	79770.0	['action' 'crime' 'fantasy' 'thriller' 'animation' 'crime' 'fantasy' 'action' 'thriller']
260	m260	batman and robin	1949	6.5	443.0	['action' 'adventure' 'crime' 'drama' 'sci-fi']
261	m261	batman forever	1995	5.4	77223.0	['action' 'crime' 'fantasy' 'thriller']
262	m262	batman	1989	7.6	112731.0	['crime' 'drama' 'thriller' 'action' 'adventure' 'crime']
263	m263	bean	1997	5.8	27131.0	['comedy' 'family']
264	m264	beavis and butt-head do america	1996	6.6	23149.0	['animation' 'adventure' 'comedy' 'crime']
265	m265	beetle juice	1988	7.3	62164.0	['comedy' 'fantasy']
266	m266	being there	1979	8.0	25085.0	['drama' 'comedy']
267	m267	being john malkovich	1999	7.9	115008.0	['comedy' 'drama' 'fantasy' 'romance']
268	m268	beloved	1998/I	5.6	4014.0	['drama' 'mystery']
269	m269	the big lebowski	1998	8.2	182170.0	['comedy' 'crime' 'mystery']
270	m270	the black dahlia	2006	5.6	35706.0	['crime' 'drama' 'history' 'mystery' 'thriller']
271	m271	blade ii	2002	6.6	51826.0	['action' 'fantasy' 'horror' 'thriller' 'action' 'adventure' 'horror']
272	m272	blade	1998	7.0	65885.0	['action' 'adventure' 'fantasy' 'horror' 'thriller']
273	m273	book of shadows: blair witch 2	2000	4.1	16285.0	['crime' 'horror' 'mystery' 'thriller']
274	m274	blood simple.	1984	7.8	28901.0	['crime' 'drama' 'thriller']
275	m275	bloodmoon	1997	4.5	269.0	['action' 'thriller']
276	m276	blow	2001	7.4	71334.0	['biography' 'crime' 'drama']
277	m277	la battaglia di algeri	1966	8.2	14339.0	['drama' 'history' 'war']
278	m278	body of evidence	1993	4.1	6052.0	['drama' 'romance' 'thriller']
279	m279	the bridges of madison county	1995	7.2	22252.0	['drama' 'romance']
280	m280	bones	2001	4.0	3525.0	['crime' 'horror']
281	m281	bound	1996	7.5	23772.0	['crime' 'drama' 'thriller']
282	m282	the bourne identity	2002	7.7	124918.0	['action' 'adventure' 'mystery' 'thriller']
283	m283	brazil	1985	8.0	77350.0	['drama' 'fantasy' 'sci-fi']
284	m284	bringing out the dead	1999	6.8	31285.0	['drama' 'thriller']
285	m285	broadcast news	1987	7.1	10559.0	['comedy' 'drama' 'romance']
286	m286	a bucket of blood	1959	6.8	1892.0	['comedy' 'horror']
287	m287	buffy the vampire slayer	1992	5.3	16206.0	['horror' 'comedy' 'action']
288	m288	bull durham	1988	7.0	18941.0	['comedy' 'romance' 'sport']
289	m289	casino	1995	8.1	111223.0	['biography' 'crime' 'drama']
290	m290	catwoman	2004	3.2	35065.0	['action' 'crime' 'fantasy']
291	m291	cellular	2004	6.5	32920.0	['action' 'crime' 'thriller']
292	m292	the crying game	1992	7.3	21394.0	['drama' 'thriller']
293	m293	charade	1963	8.0	22815.0	['comedy' 'mystery' 'romance' 'thriller']
294	m294	cherry falls	2000	4.8	5669.0	['horror' 'mystery' 'thriller']
295	m295	chill factor	1999	4.9	5381.0	['action' 'adventure' 'comedy' 'thriller']
296	m296	chinatown	1974	8.5	80698.0	['crime' 'drama' 'mystery' 'thriller']
297	m297	nuovo cinema paradiso	1988	8.5	46801.0	['comedy' 'drama' 'romance']
298	m298	citizen kane	1941	8.6	140517.0	['drama' 'mystery']
299	m299	clerks.	1994	8.0	90972.0	['comedy']
300	m300	cliffhanger	1993	6.2	34880.0	['action' 'adventure' 'thriller']
301	m301	a clockwork orange	1971	8.5	197372.0	['crime' 'drama' 'sci-fi']
302	m302	collateral	2004	7.8	106866.0	['crime' 'drama' 'thriller']
303	m303	conspiracy theory	1997	6.5	36045.0	['action' 'crime' 'mystery' 'romance' 'thriller']
304	m304	contact	1997	7.4	75043.0	['drama' 'mystery' 'sci-fi' 'thriller']
305	m305	cool hand luke	1967	8.3	46514.0	['crime' 'drama']
306	m306	copycat	1995	6.5	17335.0	['crime' 'mystery' 'thriller']
307	m307	crash	2004/I	8.0	174003.0	['crime' 'drama']
308	m308	crazy love	2007/I	7.0	944.0	['documentary']
309	m309	crime spree	2003	6.4	3129.0	['action' 'comedy' 'crime']
310	m310	crouching tiger hidden dragon	2003	8.0	1091.0	['action']
311	m311	the crow	1994	7.6	55886.0	['action' 'crime' 'fantasy' 'thriller']
312	m312	cruel intentions	1999	6.7	67532.0	['drama' 'romance' 'thriller']
313	m313	the curse of the cat people	1944	6.9	2067.0	['drama' 'fantasy' 'horror']
314	m314	the curse	1987	4.5	627.0	['sci-fi' 'horror']
315	m315	dark city	1998	7.8	64262.0	['mystery' 'sci-fi' 'thriller']
316	m316	dave	1993	6.8	20807.0	['comedy' 'romance']
317	m317	day of the dead	1985	7.0	22746.0	['horror' 'sci-fi']
318	m318	dead poets society	1989	7.8	90842.0	['drama']
319	m319	deep rising	1998	5.7	12638.0	['action' 'horror' 'sci-fi' 'thriller']
320	m320	the deer hunter	1978	8.2	89841.0	['drama' 'war']
321	m321	demolition man	1993	6.3	46318.0	['action' 'crime' 'sci-fi']
322	m322	the devil and daniel webster	2004	5.7	1824.0	['comedy' 'drama' 'fantasy']
323	m323	die hard	1988	8.3	185430.0	['action' 'crime' 'thriller']
324	m324	dog day afternoon	1975	8.2	61120.0	['crime' 'drama']
325	m325	domino	2005	5.9	32949.0	['action' 'crime' 'drama' 'thriller']
326	m326	do the right thing	1989	7.9	27164.0	['drama']
327	m327	dumb and dumberer: when harry met lloyd	2003	3.3	14984.0	['comedy']
328	m328	dune	1984	6.5	38954.0	['action' 'adventure' 'sci-fi']
329	m329	ed wood	1994	8.1	75704.0	['biography' 'comedy' 'drama']
330	m330	edtv	1999	6.1	21865.0	['comedy']
331	m331	election	1999	7.4	37868.0	['comedy' 'drama']
332	m332	l.a. confidential	1997	8.4	168009.0	['crime' 'drama' 'mystery' 'thriller']
333	m333	enemy of the state	1998	7.2	67504.0	['action' 'drama' 'thriller']
334	m334	the english patient	1996	7.3	55247.0	['romance' 'drama' 'war']
335	m335	entrapment	1999	6.1	41120.0	['action' 'crime' 'romance' 'thriller']
336	m336	erin brockovich	2000	7.2	55641.0	['biography' 'drama' 'romance']
337	m337	star wars: the empire strikes back	1982	8.0	42.0	['animation' 'adventure' 'action' 'fantasy']
338	m338	escape from the planet of the apes	1971	6.1	7754.0	['sci-fi' 'thriller']
339	m339	escape from l.a.	1996	5.3	23551.0	['action' 'adventure' 'sci-fi' 'thriller']
340	m340	excalibur	1981	7.4	24550.0	['adventure' 'drama' 'fantasy']
341	m341	the exorcist	1973	8.1	106383.0	['horror' 'thriller']
342	m342	the fabulous baker boys	1989	6.7	9433.0	['drama' 'music' 'romance']
343	m343	face/off	1997	7.3	103386.0	['action' 'crime' 'drama' 'sci-fi' 'thriller']
344	m344	the family man	2000	6.6	34509.0	['comedy' 'fantasy' 'drama' 'romance']
345	m345	the fantastic four	1994	3.8	1472.0	['action' 'adventure' 'sci-fi' 'fantasy']
346	m346	fantastic voyage	1966	6.8	5231.0	['adventure' 'sci-fi']
347	m347	fargo	1996	8.3	168176.0	['crime' 'drama' 'thriller']
